"category","AFMU_val","AFMU_err","JSAG_val","JSAG_err","SA_val","SA_err","TS_val","TS_err"
"CQNoProj_nop1","0.0018472996666666667","0.0018472996666666667","0.002676264333333334","0.002676264333333334","7.969626666666667E-4","7.969626666666667E-4","0.006426622666666666","0.006426622666666666"
"CQNoProj_nop2","0.0011509893333333332","0.0011509893333333332","0.0011566626666666667","0.0011566626666666667","7.3069E-4","7.3069E-4","0.008627151","0.008627151"
"CQNoProj_nop3","","","0.0037436263333333335","0.0037436263333333335","9.567333333333332E-4","9.567333333333332E-4","0.20475589533333335","0.20475589533333335"
"CQNoProj_nop4","","","0.003001811","0.003001811","0.0010007216666666667","0.0010007216666666667","0.19694880166666665","0.19694880166666665"
"CQNoProj_nop5","0.003199181","0.003199181","0.0024176790000000003","0.0024176790000000003","7.418996666666666E-4","7.418996666666666E-4","0.007639774666666667","0.007639774666666667"
"CQNoProj_nop6","0.002309704666666667","0.002309704666666667","0.001441469","0.001441469","8.434393333333333E-4","8.434393333333333E-4","0.009988105333333332","0.009988105333333332"
"CQNoProj_nop7","0.12404810566666667","0.12404810566666667","0.004492461333333334","0.004492461333333334","0.001135924","0.001135924","0.18072576466666668","0.18072576466666668"
"CQNoProj_nop8","0.048868461333333335","0.048868461333333335","0.0013410223333333332","0.0013410223333333332","9.872463333333334E-4","9.872463333333334E-4","0.21858497833333335","0.21858497833333335"
"CQNoProj_nop9","0.004095783666666666","0.004095783666666666","0.0036452286666666667","0.0036452286666666667","7.80645E-4","7.80645E-4","0.012531668000000001","0.012531668000000001"
"CQNoProj_nop10","0.0038498083333333333","0.0038498083333333333","0.0010405879999999998","0.0010405879999999998","7.030803333333333E-4","7.030803333333333E-4","0.01243532","0.01243532"
"CQNoProj_nop11","0.00229248","0.00229248","0.0019473649999999997","0.0019473649999999997","7.323976666666667E-4","7.323976666666667E-4","0.007665543666666667","0.007665543666666667"
"CQNoProj_nop12","0.0013535336666666668","0.0013535336666666668","8.310196666666665E-4","8.310196666666665E-4","0.001122502","0.001122502","0.009126917333333333","0.009126917333333333"
"CQNoProj_nop13","0.003027810666666667","0.003027810666666667","0.002178937","0.002178937","6.33691E-4","6.33691E-4","0.007513157666666667","0.007513157666666667"
"CQNoProj_nop14","0.0016010090000000002","0.0016010090000000002","0.001085885","0.001085885","7.444906666666667E-4","7.444906666666667E-4","0.010294318666666665","0.010294318666666665"
"CQNoProj_nop15","","","0.0019294129999999998","0.0019294129999999998","0.001599514","0.001599514","4.83182967","4.83182967"
"CQNoProj_nop16","","","0.046009647666666674","0.046009647666666674","0.0014583369999999999","0.0014583369999999999","1.0124936036666667","1.0124936036666667"
"CQNoProj_nop17","0.009216853666666665","0.009216853666666665","0.0024791493333333335","0.0024791493333333335","8.388263333333335E-4","8.388263333333335E-4","0.012747246666666665","0.012747246666666665"
"CQNoProj_nop18","0.005253000666666666","0.005253000666666666","9.514996666666666E-4","9.514996666666666E-4","7.87977E-4","7.87977E-4","0.021061436333333333","0.021061436333333333"
"CQNoProj_nop19","0.16970793666666664","0.16970793666666664","0.001215519","0.001215519","8.81728E-4","8.81728E-4","0.200338672","0.200338672"
"CQNoProj_nop20","0.1713847116666667","0.1713847116666667","0.001477864","0.001477864","8.707503333333335E-4","8.707503333333335E-4","0.20005543","0.20005543"
"UCQProj_p1","0.002182228666666667","0.002182228666666667","0.0021483496666666667","0.0021483496666666667","","","0.006076682666666666","0.006076682666666666"
"UCQProj_p2","0.0016720700000000001","0.0016720700000000001","0.0011521380000000003","0.0011521380000000003","","","0.007428306333333333","0.007428306333333333"
"UCQProj_p3","","","0.004242903333333333","0.004242903333333333","","","0.20900668033333333","0.20900668033333333"
"UCQProj_p4","","","0.0074710926666666675","0.0074710926666666675","","","0.196921869","0.196921869"
"UCQProj_p5","0.003002344666666667","0.003002344666666667","0.0023752686666666666","0.0023752686666666666","","","0.007803597","0.007803597"
"UCQProj_p6","0.0023929046666666663","0.0023929046666666663","0.0011167010000000001","0.0011167010000000001","","","0.009878985","0.009878985"
"UCQProj_p7","0.012561153","0.012561153","0.0029148476666666667","0.0029148476666666667","","","0.183331345","0.183331345"
"UCQProj_p8","0.006483761333333333","0.006483761333333333","0.0013978943333333334","0.0013978943333333334","","","0.04419489866666667","0.04419489866666667"
"UCQProj_p9","0.001328182","0.001328182","9.805496666666668E-4","9.805496666666668E-4","","","0.008203137000000001","0.008203137000000001"
"UCQProj_p10","0.0014826186666666667","0.0014826186666666667","0.0017677243333333334","0.0017677243333333334","","","0.005813986333333333","0.005813986333333333"
"UCQProj_p11","0.002629079","0.002629079","0.001166256","0.001166256","","","0.014546133000000001","0.014546133000000001"
"UCQProj_p12","0.0025679666666666664","0.0025679666666666664","0.0011535646666666667","0.0011535646666666667","","","0.013594953333333333","0.013594953333333333"
"UCQProj_p13","0.0024948566666666665","0.0024948566666666665","0.0028977726666666666","0.0028977726666666666","","","0.006612312999999999","0.006612312999999999"
"UCQProj_p14","0.0015777379999999998","0.0015777379999999998","9.151813333333333E-4","9.151813333333333E-4","","","0.008426018666666668","0.008426018666666668"
"UCQProj_p15","","","0.0014209916666666665","0.0014209916666666665","","","",""
"UCQProj_p16","","","0.019092635","0.019092635","","","1.0303967263333333","1.0303967263333333"
"UCQProj_p17","0.012826345666666667","0.012826345666666667","0.0025022020000000002","0.0025022020000000002","","","0.011728332000000001","0.011728332000000001"
"UCQProj_p18","0.006656032333333333","0.006656032333333333","8.785339999999999E-4","8.785339999999999E-4","","","0.018704012333333336","0.018704012333333336"
"UCQProj_p19","0.023413554","0.023413554","0.0011822783333333333","0.0011822783333333333","","","0.20890365766666666","0.20890365766666666"
"UCQProj_p20","0.025652274666666666","0.025652274666666666","0.0014333003333333334","0.0014333003333333334","","","0.21437095533333336","0.21437095533333336"
"UCQProj_p21","0.025994233999999995","0.025994233999999995","0.001155856","0.001155856","","","0.20252468866666665","0.20252468866666665"
"UCQProj_p22","0.043104148333333335","0.043104148333333335","0.0033701216666666665","0.0033701216666666665","","","0.19334855399999998","0.19334855399999998"
"UCQProj_p23","","","0.0051565709999999996","0.0051565709999999996","","","",""
"UCQProj_p24","","","0.016846351333333332","0.016846351333333332","","","",""
"UCQProj_p25","","","0.002912463","0.002912463","","","",""
"UCQProj_p26","","","0.006901487","0.006901487","","","",""
"UCQProj_p27","0.025067509333333335","0.025067509333333335","0.004814441333333333","0.004814441333333333","","","0.18691454533333332","0.18691454533333332"
"UCQProj_p28","0.030255994999999997","0.030255994999999997","0.0038850720000000003","0.0038850720000000003","","","0.24150169633333332","0.24150169633333332"

